Date,Event Description,Country,Country ISO,Admin 1,Latitude,Longitude,Geo Precision,Location of event,Reported Perpetrator,Reported Perpetrator Name,Weapon Carried/Used,Type of education facility,Attacks on Schools,Attacks on Universities,Military Occupation of Education facility,Arson attack on education facility,Forced Entry into education facility,Damage/Destruction To Ed facility Event,Attacks on Students and Teachers,Educators Killed,Educators Injured,Educators Kidnapped,Educators Arrested,Known Educators Kidnap Or Arrest Outcome,Students Attacked in School,Students Killed,Students Injured,Students Kidnapped,Known Student Kidnap Or Arrest Outcome,Students Arrested,Sexual Violence Affecting School Age Children,SiND Event ID,Date Event Entered,Date Event Modified
2023-09-19,,Yemen,YEM,Amanat Al Asimah,,,censored,Unspecified Location,NSA,Shia al-Houthi rebels,Firearms,Not Applicable,0,0,0,0,0,0,False,0,1,0,0,,0,0,0,0,,0,0,41968,2023-11-19,2024-11-24
2023-09-18,,Myanmar,MMR,Magway,,,censored,Education Building ,Multiple,No Information,Firearms,School: No Further Details,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,41768,2023-11-10,2024-11-24
2023-09-18,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41770,2023-11-10,2025-01-10
2023-09-18,,Indonesia,IDN,Western New Guinea,,,censored,Education Building ,NSA,West Papua National Liberation Army,Arson,Secondary School,1,0,0,1,0,1,False,0,0,0,0,,0,0,0,0,,0,0,77206,2024-09-15,2024-11-24
2023-09-17,,Myanmar,MMR,Magway,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Arson,School: No Further Details,1,0,0,1,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41767,2023-11-10,2024-11-24
2023-09-16,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Multiple,No Information,Firearms,School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41574,2023-11-02,2025-01-20
2023-09-16,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Multiple,"Myanmar Armed Forces, People's Defence Force (Myanmar)","Aerial Bomb: Drone, Firearms",School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41680,2023-11-07,2025-01-20
2023-09-16,,Myanmar,MMR,Mandalay,,,censored,Education Building ,No Information,No Information,Unspecified Explosive,University,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41681,2023-11-07,2025-01-10
2023-09-16,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,42174,2023-11-30,2024-11-24
2023-09-15,,DRC,COD,South Kivu,,,censored,Other,NSA,Unidentified Armed Actor,Firearms,Not Applicable,0,0,0,0,0,0,False,1,0,0,0,,0,0,0,0,,0,0,41545,2023-11-01,2024-11-24
2023-09-15,,Myanmar,MMR,Magway,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Arson,School: No Further Details,1,0,0,1,1,1,False,0,0,0,0,,0,0,0,0,,0,0,41571,2023-11-02,2025-01-10
2023-09-15,,Myanmar,MMR,Tanintharyi Region,,,censored,Education Building ,No Information,No Information,Firearms,Primary School,1,0,0,0,1,1,False,0,0,0,0,,0,0,0,0,,0,0,41572,2023-11-02,2024-11-24
2023-09-15,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Multiple,"Myanmar Armed Forces, People's Defence Force (Myanmar)","Aerial Bomb: Drone, Firearms",School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41662,2023-11-07,2025-01-20
2023-09-15,,Myanmar,MMR,Mon State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Unspecified Explosive,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41676,2023-11-07,2025-01-10
2023-09-15,,Afghanistan,AFG,Daykundi Province,,,censored,Education Building ,Police,Islamic Emirate of Afghanistan,Firearms,Not Applicable,0,0,0,0,0,0,False,0,2,0,2,Freed,0,0,0,0,,0,0,41812,2023-11-12,2025-01-10
2023-09-14,,Myanmar,MMR,Kayin State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41570,2023-11-02,2026-01-07
2023-09-13,,Myanmar,MMR,Kayin State,,,censored,Education Building ,Multiple,"Karen National Liberation Army, Myanmar Armed Forces",Firearms,School: No Further Details,1,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41569,2023-11-02,2024-11-24
2023-09-13,,Mali,MLI,Gao,,,censored,Education Building ,No Information,No Information,Hand Grenade,Primary School,1,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,46982,2024-06-02,2025-01-10
2023-09-13,,Sudan,SDN,South Darfur,,,censored,Education Building ,Government: Military,Sudanese Armed Forces,Aerial Bomb: Plane,School: No Further Details,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,62939,2024-08-08,2026-03-10
2023-09-12,,Myanmar,MMR,Chin,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,Not Applicable,0,0,0,0,0,0,False,0,0,0,1,Freed,0,0,0,0,Freed,40,0,41538,2023-11-01,2025-01-10
2023-09-12,,Myanmar,MMR,Kayin State,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Firearms,School: No Further Details,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,41568,2023-11-02,2024-11-24
2023-09-12,,Colombia,COL,RAP del Agua y la Montaña,,,censored,Education Building ,NSA,Clan del Golfo Non-State Armed Group,Firearms,School: No Further Details,1,0,0,0,1,0,True,1,0,0,0,,1,0,0,0,,0,0,41970,2023-11-19,2024-11-24
2023-09-11,,Myanmar,MMR,Tanintharyi Region,,,censored,Education Building ,Multiple,"Myanmar Armed Forces, People's Defence Force (Myanmar)",Firearms,School: No Further Details,1,0,1,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41535,2023-11-01,2024-11-24
2023-09-11,,Myanmar,MMR,Magway,,,censored,Education Building ,Multiple,"Myanmar Armed Forces, People's Defence Force (Myanmar)","Firearms, Unspecified Explosive",School: No Further Details,1,0,0,0,1,0,False,0,0,0,0,,0,0,0,0,,0,0,41536,2023-11-01,2024-11-24
2023-09-11,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Multiple,"Myanmar Armed Forces, People's Defence Force (Myanmar)",Firearms,School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41537,2023-11-01,2024-11-24
2023-09-11,,Afghanistan,AFG,Takhar Province,,,censored,Education Building ,No Information,No Information,Arson,University,0,1,0,1,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41800,2023-11-11,2024-11-24
2023-09-11,,Yemen,YEM,Ibb Governorate,,,censored,Education Building ,NSA,Shia al-Houthi rebels,Firearms,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,41966,2023-11-19,2024-11-24
2023-09-10,,Myanmar,MMR,Kayin State,,,censored,Education Building ,NSA,"Karen National Defence Organisation, KNU Karen National Union (Myanmar)",Artillery,School: No Further Details,1,0,0,0,1,1,False,0,0,0,0,,0,0,0,0,,0,0,40870,2023-10-07,2024-11-24
2023-09-10,,Myanmar,MMR,Sagaing Region,,,censored,Education Building ,Government: Military,Myanmar Armed Forces,Aerial Bomb: Plane,School: No Further Details,1,0,0,0,0,1,False,0,0,0,0,,0,0,0,0,,0,0,40885,2023-10-08,2024-11-24
2023-09-10,,Myanmar,MMR,Kayin State,,,censored,Education Building ,NSA,Karen National Defence Organisation,Firearms,School: No Further Details,1,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,,0,0,41534,2023-11-01,2024-11-24
2023-09-10,,Afghanistan,AFG,Faryab Province,,,censored,Education Building ,Police,Islamic Emirate of Afghanistan,No Information on the Weapon Used,Not Applicable,0,0,0,0,0,0,False,0,0,0,0,,0,0,0,0,Freed,29,0,41801,2023-11-11,2024-11-24
